"@SiteCode","@SiteName","@SiteType","@Latitude","@Longitude","@LatitudeWGS84","@LongitudeWGS84","@SiteLink","@DataOwner","@DataManager","_tag","@SpeciesCode","@SpeciesDescription","@Year","@ObjectiveName","@Value","@Achieved"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2000","40 ug/m3 as an annual mean","30","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2001","40 ug/m3 as an annual mean","35","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2002","40 ug/m3 as an annual mean","32","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2003","40 ug/m3 as an annual mean","32","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2004","40 ug/m3 as an annual mean","31","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2005","40 ug/m3 as an annual mean","30","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2006","40 ug/m3 as an annual mean","32","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2007","40 ug/m3 as an annual mean","31","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2008","40 ug/m3 as an annual mean","25","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2009","40 ug/m3 as an annual mean","26","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2010","40 ug/m3 as an annual mean","26","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2011","40 ug/m3 as an annual mean","25","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2012","40 ug/m3 as an annual mean","27","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2013","40 ug/m3 as an annual mean","27","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2014","40 ug/m3 as an annual mean","25","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2015","40 ug/m3 as an annual mean","20","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2016","40 ug/m3 as an annual mean","21","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2017","40 ug/m3 as an annual mean","24","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2018","40 ug/m3 as an annual mean","24","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2019","40 ug/m3 as an annual mean","16","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2020","40 ug/m3 as an annual mean","17","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2021","40 ug/m3 as an annual mean","17","YES"
