source,path,name,suffix,size_bytes,evidence_type,public_safe
repo,site_public/data/focus/overlays_v3/remaining_overlay_queue.csv,remaining_overlay_queue.csv,.csv,6419,evidence,yes
repo,site_public/data/focus/overlays_v3/selected_candidate_overlays_cumulative.csv,selected_candidate_overlays_cumulative.csv,.csv,131525,evidence,yes
repo,site_public/data/focus/overlays_v3/candidate_monitoring_overlays.csv,candidate_monitoring_overlays.csv,.csv,1010,measurement,yes
repo,site_public/data/focus/overlays_v3/selected_candidate_overlays_needing_review.csv,selected_candidate_overlays_needing_review.csv,.csv,131525,evidence,yes
repo,site_public/data/focus/overlays_v3/incinerator_overlay_summary.json,incinerator_overlay_summary.json,.json,1104,evidence,yes
repo,site_public/data/focus/overlays_v3/selected_candidate_overlays_this_run.csv,selected_candidate_overlays_this_run.csv,.csv,470,evidence,yes
repo,site_public/data/focus/overlays_v3/overlay_discovery_errors.json,overlay_discovery_errors.json,.json,2,evidence,yes
repo,site_public/data/focus/overlays_v3/remaining_overlay_batch_queried.csv,remaining_overlay_batch_queried.csv,.csv,1666,evidence,yes
repo,site_public/data/focus/overlays_v3/candidate_monitoring_overlays_this_run.csv,candidate_monitoring_overlays_this_run.csv,.csv,1010,measurement,yes
repo,site_public/data/focus/overlays_v3/validated_defra_overlays.csv,validated_defra_overlays.csv,.csv,4524,evidence,yes
repo,site_public/data/focus/overlays_v3/facility_overlay_status.csv,facility_overlay_status.csv,.csv,6828,evidence,yes
repo,site_public/data/focus/overlays_v2/openaq_query_diagnostics.csv,openaq_query_diagnostics.csv,.csv,93919,diagnostic,yes
repo,site_public/data/focus/overlays_v2/remaining_overlay_queue.csv,remaining_overlay_queue.csv,.csv,6457,evidence,yes
repo,site_public/data/focus/overlays_v2/candidate_monitoring_overlays.csv,candidate_monitoring_overlays.csv,.csv,319501,measurement,yes
repo,site_public/data/focus/overlays_v2/selected_candidate_overlays_needing_review.csv,selected_candidate_overlays_needing_review.csv,.csv,38380,evidence,yes
repo,site_public/data/focus/overlays_v2/incinerator_overlay_summary.json,incinerator_overlay_summary.json,.json,513,evidence,yes
repo,site_public/data/focus/overlays_v2/overlay_discovery_errors.json,overlay_discovery_errors.json,.json,2,evidence,yes
repo,site_public/data/focus/overlays_v2/validated_defra_overlays.csv,validated_defra_overlays.csv,.csv,4524,evidence,yes
repo,site_public/data/focus/operational/chart_data.json,chart_data.json,.json,94,evidence,yes
repo,site_public/data/focus/operational/public_facility_overlay_status.csv,public_facility_overlay_status.csv,.csv,6883,evidence,yes
repo,site_public/data/focus/operational/build_summary.json,build_summary.json,.json,2062,evidence,yes
repo,site_public/data/focus/operational/public_overlay_summary.json,public_overlay_summary.json,.json,403,evidence,yes
repo,site_unredacted/data/moving_banners_status.json,moving_banners_status.json,.json,383,evidence,review_required
repo,site_unredacted/data/weekly/latest_alert_unredacted.json,latest_alert_unredacted.json,.json,2130,evidence,review_required
repo,site_unredacted/data/weekly/brand_asset_status.json,brand_asset_status.json,.json,288,evidence,review_required
repo,site_unredacted/data/weekly/backfill_status.json,backfill_status.json,.json,149,evidence,review_required
repo,site_unredacted/data/weekly/webm_banner_status.json,webm_banner_status.json,.json,564,evidence,review_required
repo,site_unredacted/data/weekly/weekly_alert_build_status.json,weekly_alert_build_status.json,.json,446,evidence,review_required
repo,site_unredacted/data/backfill/incinerators/facility_backfill_readiness_unredacted.csv,facility_backfill_readiness_unredacted.csv,.csv,3258,evidence,review_required
repo,site_unredacted/data/backfill/incinerators/openaq_live_probe_diagnostics.csv,openaq_live_probe_diagnostics.csv,.csv,5428,diagnostic,review_required
repo,site_unredacted/data/backfill/incinerators/focused_backfill_summary_unredacted.json,focused_backfill_summary_unredacted.json,.json,6533,evidence,review_required
repo,site_unredacted/data/review/UK_Incinerator_Overlay_Candidate_Review.csv,UK_Incinerator_Overlay_Candidate_Review.csv,.csv,8218,evidence,review_required
repo,site_unredacted/data/focus/webm_banner_status.json,webm_banner_status.json,.json,564,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/serpapi_raw/serpapi_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json,serpapi_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json,.json,46002,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/serpapi_raw/serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260526T135749Z.json,serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260526T135749Z.json,.json,41947,measurement,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/serpapi_raw/serpapi_BV8067IL_Newhaven_Environment_Agency_20260526T135749Z.json,serpapi_BV8067IL_Newhaven_Environment_Agency_20260526T135749Z.json,.json,27226,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260526T135749Z.json,waqi_newhaven_incinerator_20260526T135749Z.json,.json,1952,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260526T135749Z.json,openweather_airpollution_newhaven_incinerator_20260526T135749Z.json,.json,189,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/openaq_raw/openaq_locations_newhaven_incinerator_20260526T135749Z.json,openaq_locations_newhaven_incinerator_20260526T135749Z.json,.json,22006,diagnostic,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/watch_data.gov.uk_incinerator_search_20260526T135749Z.html,watch_data.gov.uk_incinerator_search_20260526T135749Z.html,.html,68132,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_UK_PRTR_Newhaven_Veolia_waste_incineration_20260526T135749Z.json,GOV.UK_UK_PRTR_Newhaven_Veolia_waste_incineration_20260526T135749Z.json,.json,214395,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_Environment_Agency_Newhaven_energy_recovery_facility_20260526T135749Z.json,GOV.UK_Environment_Agency_Newhaven_energy_recovery_facility_20260526T135749Z.json,.json,185792,evidence,review_required
repo,outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_Environment_Agency_Newhaven_energy_recovery_facility_20260526T135749Z.json,data.gov.uk_Environment_Agency_Newhaven_energy_recovery_facility_20260526T135749Z.json,.json,239491,evidence,review_required
