facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Dartford Roadside 2 - Town Centre,225746,51.4426702340503,0.216185856662181,30.789,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,official_or_governmental_candidate,4,18,15,5,42,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Dartford - Town Centre,4990521,51.442557781389,0.215950164318913,30.79,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,official_or_governmental_candidate,4,18,15,5,42,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Rochester,5451896,51.372348,0.50601,15.834,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Rochester,5451896,51.372348,0.50601,22.561,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Broomhill Road,223715,51.379382,0.100759,33.952,no;no2;nox,london stationary | Unknown Research Organization | United Kingdom | Europe/London,community_or_uncertain_candidate,4,18,0,0,22,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Broomhill Road,223779,51.379382,0.100759,33.952,no;no2;nox,london stationary | Unknown Research Organization | United Kingdom | Europe/London,community_or_uncertain_candidate,4,18,0,0,22,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Chilbolton Observatory - UKA00614,2424,51.149616999677995,-1.4382279999584238,23.656,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Stockbridge | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Reading - New Town,225778,51.4529847075166,-0.944461432664066,21.413,no2;o3;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Reading | Europe/London,official_or_governmental_candidate,14,33,15,5,67,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Reading New Town - UKA00462,2479,51.453089999530995,-0.9440669998676476,21.436,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Reading | Europe/London,official_or_governmental_candidate,14,33,15,5,67,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Chilbolton Observatory - UKA00614,2424,51.149616999677995,-1.4382279999584238,28.858,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Stockbridge | Europe/London,official_or_governmental_candidate,4,35,15,5,59,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Reading - New Town,225778,51.4529847075166,-0.944461432664066,27.099,no2;o3;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Reading | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Reading New Town - UKA00462,2479,51.453089999530995,-0.9440669998676476,27.122,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Reading | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Reading London Road - UKA00620,2410,51.454895999704384,-0.9403820000794095,21.729,no2;pm10,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,14,18,15,5,52,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Sherborne St John,5981280,51.2963503,-1.1093352,2.733,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,40,9,0,0,49,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Reading London Road - UKA00620,2410,51.454895999704384,-0.9403820000794095,27.421,no2;pm10,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,18,15,5,42,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Sherborne St John,5981280,51.2963503,-1.1093352,6.584,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,32,9,0,0,41,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Orch cl,6133924,51.398192,-1.176112,14.741,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,25,9,0,0,34,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Alton,3246956,51.14188,-0.97438,15.261,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Alton,3246956,51.14188,-0.97438,17.03,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,DN1 Outdoor,1793796,51.38626172761953,-0.9034570773981544,17.031,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Ggg | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Northumberland Avenue,2834801,51.4356282,-0.9624044,19.135,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Northumberland Avenue,2858887,51.4357082,-0.962382,19.143,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | RBC | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Design Nature 2,1813439,51.439696,-0.949368,19.94,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,SJCR Car Park,2882018,51.446046,-0.94838,20.601,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Newbury,3329389,51.4115819,-1.2942061,20.867,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Critical Tinkerer | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Walworth Road,3080800,51.2223611,-1.438124,21.541,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Mint | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,facility,51.28,-1.08,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Main Office,3279895,51.466087119689576,-0.9714073322705774,22.022,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Thameside Primary School | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Chineham EfW,chineham,Hampshire,51.28,-1.08,Oakley,51.23854307327007,-1.129830699,control,51.23854307327007,-1.129830699,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Newbury,3329389,51.4115819,-1.2942061,22.376,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Critical Tinkerer | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
