facility_name,facility_key,operator,control_name,query_role,candidate_location_id,candidate_location_name,candidate_provider,candidate_latitude,candidate_longitude,distance_from_query_km,distance_from_facility_km,distance_from_control_km,pollutants,score,candidate_class,review_status,source_layer,query_method
Crossness Sludge Plant,crossness_sludge,,Crayford,control,147,Greenwich - Eltham,,51.45258,0.070766,,,,,65,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225796,Greenwich - Falconwood,,51.4563,0.085606,,,,,65,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,157,Bexley - Slade Green,,51.4659832746662,0.184877126994369,,,,,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225705,Bexley - Belvedere West,,51.4946486813055,0.137279111232178,,,,,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225751,Greenwich - Plumstead High Street,,51.486957,0.095111,,,,,59,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225769,Greenwich - Fiveways Sidcup Rd A20,,51.4346627060562,0.0642224671704697,,,,,59,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225763,Havering - Rainham,,51.520787459334,0.20546070569404398,,,,,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,157,Bexley - Slade Green,,51.4659832746662,0.184877126994369,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225705,Bexley - Belvedere West,,51.4946486813055,0.137279111232178,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225710,Greenwich - Blackheath,,51.472504,-0.012381,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225714,Bexley - Belvedere,,51.4906102082147,0.158914493927518,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225725,Bromley - Harwood Avenue,,51.405545999999994,0.018882,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225727,Barking and Dagenham - Scrattons Farm,,51.529389,0.132857,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225746,Dartford Roadside 2 - Town Centre,,51.4426702340503,0.216185856662181,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225747,Greenwich - A206 Burrage Grove,,51.490532,0.074003,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225755,Greenwich - John Harrison Way,,51.4937746695818,0.0107796237032558,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225761,Greenwich - Woolwich Flyover,,51.486884,0.017901,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225776,Lewisham - Loampit Vale,,51.4646910611736,-0.0160682432041527,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225797,Greenwich - Westhorne Avenue,,51.456357,0.040725,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225800,Greenwich - Trafalgar Road (Hoskins St),,51.4839072533485,0.000407396935849736,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Crossness Sludge Plant,crossness_sludge,,Crayford,control,225804,Lewisham - Catford,,51.445468,-0.020266,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
