facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,facility,50.88,-1.42,OpenAQ v3 locations,candidate_needs_review,high_confidence_official_candidate,Southampton Centre - UKA00235,698,50.90813999934531,-1.3957779998162605,3.56,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Southampton | Europe/London,official_or_governmental_candidate,40,35,15,5,95,review_for_promotion_to_validated_overlay,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,control,50.82468261920184,-1.476364095,OpenAQ v3 locations,candidate_needs_review,high_confidence_official_candidate,Southampton Centre - UKA00235,698,50.90813999934531,-1.3957779998162605,10.868,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Southampton | Europe/London,official_or_governmental_candidate,25,35,15,5,80,review_for_promotion_to_validated_overlay,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,facility,50.88,-1.42,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Southampton A33 - UKA00613,2365,50.9202649996517,-1.4634840003224667,5.417,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Southampton | Europe/London,official_or_governmental_candidate,32,27,15,5,79,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,control,50.82468261920184,-1.476364095,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Southampton A33 - UKA00613,2365,50.9202649996517,-1.4634840003224667,10.667,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Southampton | Europe/London,official_or_governmental_candidate,25,27,15,5,72,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,facility,50.88,-1.42,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Southampton - A33 Roadside AURN,225759,50.9205490280861,-1.46363686588104,5.449,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,32,18,15,5,70,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,control,50.82468261920184,-1.476364095,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Southampton - A33 Roadside AURN,225759,50.9205490280861,-1.46363686588104,10.697,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,25,18,15,5,63,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,facility,50.88,-1.42,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Portsmouth Background AURN,226345,50.8282053073682,-1.06994447818715,25.239,no2;o3;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Hampshire | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Marchwood ERF,marchwood,Hampshire,50.88,-1.42,Hythe,50.82468261920184,-1.476364095,facility,50.88,-1.42,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Portsmouth - UKA00421,2526,50.828809999288616,-1.0685829997273733,25.316,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Portsmouth | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,facility,52.04,-0.75,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Milton Keynes,5467226,52.021905805020346,-0.7474122108362025,2.02,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,40,9,0,0,49,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,control,51.99400431876248,-0.802347029,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Milton Keynes,5467226,52.021905805020346,-0.7474122108362025,4.875,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,40,9,0,0,49,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,facility,52.04,-0.75,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Luton A505 Roadside - UKA00605,2452,51.892292999342956,-0.4621100000855228,25.666,no2;pm25,EEA | Unknown Governmental Organization | United Kingdom | Luton | Europe/London,official_or_governmental_candidate,4,19,15,5,43,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,control,51.99400431876248,-0.802347029,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Luton A505 Roadside - UKA00605,2452,51.892292999342956,-0.4621100000855228,25.919,no2;pm25,EEA | Unknown Governmental Organization | United Kingdom | Luton | Europe/London,official_or_governmental_candidate,4,19,15,5,43,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,control,51.99400431876248,-0.802347029,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Cublington UK,3145052,51.89304,-0.780495,11.326,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Video Walrus | United Kingdom | Europe/London,community_or_uncertain_candidate,25,17,0,0,42,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,control,51.99400431876248,-0.802347029,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Leighton Buzzard,3094771,51.908,-0.643,14.516,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,25,17,0,0,42,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,facility,52.04,-0.75,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Wolverton,4504685,52.064647,-0.817993,5.397,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,32,9,0,0,41,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Milton Keynes WRP,miltonkeyneswrp,Milton Keynes,52.04,-0.75,Woburn Sands,51.99400431876248,-0.802347029,control,51.99400431876248,-0.802347029,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Wolverton,4504685,52.064647,-0.817993,7.928,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,32,9,0,0,41,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Newlincs EfW,newlincs,Grimsby,53.55,-0.07,Waltham,53.509896570815,-0.110490383,facility,53.55,-0.07,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Hull Freetown - UKA00450,2509,53.74877999969003,-0.3412220001126272,28.427,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Hull | Europe/London,official_or_governmental_candidate,4,35,15,5,59,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Newlincs EfW,newlincs,Grimsby,53.55,-0.07,Waltham,53.509896570815,-0.110490383,facility,53.55,-0.07,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Immingham Woodlands Avenue - UKA00647,2659934,53.61924099923087,-0.21332400041336616,12.198,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,25,10,15,5,55,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Newlincs EfW,newlincs,Grimsby,53.55,-0.07,Waltham,53.509896570815,-0.110490383,facility,53.55,-0.07,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Immingham Woodlands Avenue - UKA00647,2659935,53.61924099923087,-0.21332400041336616,12.198,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,25,10,15,5,55,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
