facility_name,control_name,query_role,query_method,coordinate_source,candidate_location_id,candidate_location_name,candidate_latitude,candidate_longitude,provider,pollutants,all_parameters,distance_to_facility_km,distance_to_query_km,score,candidate_class,review_status,source_layer
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225725,Bromley - Harwood Avenue,51.405545999999994,0.018882,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,14.066,7.964,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225727,Barking and Dagenham - Scrattons Farm,51.529389,0.132857,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,5.078,9.196,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225746,Dartford Roadside 2 - Town Centre,51.4426702340503,0.216185856662181,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,6.159,7.264,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225747,Greenwich - A206 Burrage Grove,51.490532,0.074003,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,6.647,5.427,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225751,Greenwich - Plumstead High Street,51.486957,0.095111,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,5.196,4.509,59,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225755,Greenwich - John Harrison Way,51.4937746695818,0.0107796237032558,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,11.031,8.664,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225761,Greenwich - Woolwich Flyover,51.486884,0.017901,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,10.537,7.820,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225769,Greenwich - Fiveways Sidcup Rd A20,51.4346627060562,0.0642224671704697,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,9.569,3.597,59,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225776,Lewisham - Loampit Vale,51.4646910611736,-0.0160682432041527,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,13.190,9.051,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225796,Greenwich - Falconwood,51.4563,0.085606,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,6.943,2.043,65,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
